label,text,preprocessing-result
Ham,Semoga terus bisa membangun Pak biar nanti kalopun nda kesampaian maka InsyaALLAH akan diteruskan oleh pemimpin berikutnya karena kalo pembangunan yang dimulai tidak diteruskan bisa2 kita membangun terus tapi tidak selesai2 karena dirubah terus🙏💪💪💪,"['moga', 'bangun', 'biar', 'kalo', 'nda', 'insyaallah', 'terus', 'pimpin', 'kalo', 'bangun', 'tidak', 'terus', 'bangun', 'tidak', 'selesai', 'rubah']"
Ham,Keren sekali pak 👍🏼,['keren']
Spam,Saya sih di pihak Rocky Gerung,"['sih', 'rocky', 'gerung']"
Ham,"Hebat kereta cepat transportasi KCJB,doa dulu pakde, semogah sehat selalu sampei tujuan, 🤲🙏, Aamiin yra","['hebat', 'kereta', 'cepat', 'transportasi', 'kcjb', 'doa', 'pakde', 'semogah', 'sehat', 'sampei', 'tuju', 'aamiin', 'yra']"
Ham,"Selamat atas keberhasilannya bung,semogga menyusul yg lain🙏🙏🙏","['selamat', 'hasil', 'semogga', 'susul', 'yg']"
Ham,Assalaamu'alaikum warohmatullohiwabarokaatuh semoga sehat selalu,"['assalaamu', 'alaikum', 'warohmatullohiwabarokaatuh', 'moga', 'sehat']"
Ham,Alhamdulillah,['alhamdulillah']
Spam,"Pak persiden..knpa harga bras mkin menikt,kren hargA ya 8 rb cma,","['persiden', 'knpa', 'harga', 'bras', 'mkin', 'menikt', 'kren', 'harga', 'ya', 'rb', 'cma']"
Spam,Alhamdulillah pk mantap buah nyinyiran keren 😁,"['alhamdulillah', 'pk', 'mantap', 'buah', 'nyinyir', 'keren']"
Ham,Mantab pak hebat anda Bpk sukses ya pak,"['mantab', 'hebat', 'bpk', 'sukses', 'ya']"
Ham,"Keren pak👍
Semoga nyambung juga sampe malang😁🙏","['keren', 'moga', 'nyambung', 'sampe', 'malang']"
Spam,Beres pak.,['beres']
Ham,Wah pengen segera mencoba naik KCJB 👍👍👍🙏🏻🙏🏻🙏🏻🇮🇩🇮🇩🇮🇩 waah… Indonesia sdh Jadi negara Maju deh sekrg 😇😍,"['ken', 'coba', 'kcjb', 'waah', 'indonesia', 'sdh', 'negara', 'maju', 'deh', 'sekrg']"
Spam,Ini orang rusuh.,"['orang', 'rusuh']"
Spam,Not worth it pak,"['not', 'worth', 'it']"
Ham,bapak presiden mau apakah mulai pada 1 oktober yang bertepatan dengan hari kesaktian PANCASILA ideologi negara bangsa Indonesia masih harus mendaftar ketika ingin menaiki kereta cepat Jakarta - Bandung setelah tiba di stasiun Halim melalui kereta penghubung LRT agar bisa berangkat ke ibukota provinsi Jawa Barat,"['presiden', 'oktober', 'tepat', 'sakti', 'pancasila', 'ideologi', 'negara', 'bangsa', 'indonesia', 'daftar', 'kereta', 'cepat', 'jakarta', 'bandung', 'stasiun', 'halim', 'kereta', 'hubung', 'lrt', 'berangkat', 'ibukota', 'provinsi', 'jawa', 'barat']"
Ham,ongkos nya pak presiden...di putuskan yg terjangkau. Kereta LRT  700 per km  tambah 5000...kemahalan bila kita naik mobil sendiri. HARUS DI TINJAU.  KAN BUMN YG OLAH.,"['ongkos', 'nya', 'presiden', 'putus', 'yg', 'jangkau', 'kereta', 'lrt', 'km', 'mahal', 'mobil', 'tinjau', 'bumn', 'yg', 'olah']"
Ham,Terima kasih pak Jokowi. Pasti masyarakat kelas menengah ke atas yg tinggal terutama di Jabodetabek dan Bandung/ Padalarang sekitar akan dengan senang hati mencoba dan pindah dari mobil pribadi naik KCJB !!!,"['terima', 'kasih', 'jokowi', 'masyarakat', 'kelas', 'tengah', 'yg', 'tinggal', 'jabodetabek', 'bandung', 'padalarang', 'senang', 'hati', 'coba', 'pindah', 'mobil', 'pribadi', 'kcjb']"
Ham,"Alhamdulillah,,,,, pak presiden,,,,, saya doakan semoga Bpk tetap dlm keadaan sehat wal afiat.....","['alhamdulillah', 'presiden', 'doa', 'moga', 'bpk', 'dlm', 'sehat', 'wal', 'afiat']"
Ham,Sehat Semangat Sukses Selalu Presiden NKRI Berserta keluarga dan Menteri²nya Salam NKRI Maju Jaya Aamiin YRA,"['sehat', 'semangat', 'sukses', 'presiden', 'nkri', 'serta', 'keluarga', 'menteri', 'nya', 'salam', 'nkri', 'maju', 'jaya', 'aamiin', 'yra']"
Ham,MASYAALLAH seht SELALU pak jokowi sekeluarga🤲😍😍,"['masyaallah', 'seht', 'jokowi', 'keluarga']"
Ham,Harga tiketnya berapa ya?,"['harga', 'tiket', 'ya']"
Ham,Sangat luar biasa bapak Presiden RI pak Jokowi Tuhan memberkati🙏,"['presiden', 'ri', 'jokowi', 'tuhan', 'kati']"
Ham,Mantap,['mantap']
Ham,👍🏻👍🏻👍🏻 Mantap pak presiden 👍🏻👍🏻👍🏻,"['mantap', 'presiden']"
Ham,"Untuk mengalih kan masyarakat ke tranportasi umum itu di butuh kan contoh pak..bukan sekedar menyedia kan saja tapi harus ada contoh juga dari para asn pejabat ..anak buah bapak mau ga beralih ke umum..?
Kalo rakyat kan ga bisa di perintah..
Kalo asn pejabat kan bisa.","['alih', 'masyarakat', 'tranportasi', 'butuh', 'contoh', 'dar', 'sedia', 'contoh', 'asn', 'jabat', 'anak', 'buah', 'ga', 'alih', 'kalo', 'rakyat', 'ga', 'perintah', 'kalo', 'asn', 'jabat']"
Spam,"Hadir.
#KeluargaSejahtera","['hadir', 'keluargasejahtera']"
Ham,"Insya Alloh Bp....,asal tidak terlalu menekan saya yakin walaupun tidak bakal instand...,kalo ongkos kejangkau knp tidak...efek positipnya besar mengurangi polisi🙏🙏","['insya', 'alloh', 'bp', 'tidak', 'tekan', 'tidak', 'instand', 'kalo', 'ongkos', 'jangkau', 'knp', 'tidak', 'efek', 'positipnya', 'kurang', 'polisi']"
Ham,Buatkan juga pak di Jambi.. jgnkan naik kereta api.. lihat kereta api aja dak pernah 😭😭,"['buat', 'jambi', 'jgnkan', 'kereta', 'api', 'lihat', 'kereta', 'api', 'aja', 'dak']"
Spam,"Slmt pagi Pak,kami di Kalimantan khususnya di KUTIM tolong di perhatikan juga jalan kami pak peresiden,kami bagian kecamatan n pedesa'an jln kami masih tanah jadi klo musim hujan becek n lumpur klo musim panas debu tebal pak,kami juga ingin merasakan jln Aspal menuju kota Sangata n Samarinda pak 🙏🙏🙏","['slmt', 'pagi', 'kalimantan', 'tim', 'tolong', 'perhati', 'jalan', 'residen', 'camat', 'n', 'desa', 'an', 'jln', 'tanah', 'klo', 'musim', 'hujan', 'becek', 'n', 'lumpur', 'klo', 'musim', 'panas', 'debu', 'tebal', 'rasa', 'jln', 'aspal', 'kota', 'sangata', 'n', 'samarinda']"
Ham,Mantap pak presiden.,"['mantap', 'presiden']"
Ham,Mantap slu👍,"['mantap', 'slu']"
Spam,"Ini bagian seperti apa yang ada dalam rasa Tanggung Jawab KEDEPAN yang HARUS kita lakukan dan kita KERJAKAN untuk masa depan ANAK CUCU kita bukan MEMANJAKAN tapi memberikan kemudahan untuk lebih MUDAH mengembangkan MODAL Awal meningkatkan tuntutan JAMAN kedepan !
Dari HUTANG ada wujud yang sangat Berarti untuk Jangka Panjang !","['tanggung', 'depan', 'laku', 'kerja', 'anak', 'cucu', 'manja', 'mudah', 'mudah', 'kembang', 'modal', 'tingkat', 'tuntut', 'jaman', 'depan', 'hutang', 'wujud', 'jangka']"
Ham,"Se
Puji Syukur ikut Bangga akhirnya Indonesia 🇮🇩  punya KA Cepat. Semoga  bisa  di seluruh INDONESIA 🇮🇩 .
Terimakasih Pak Presiden, Indonesia 🇮🇩  tidak dianggap Negara Miskin Lagi!!!","['puji', 'syukur', 'bangga', 'indonesia', 'ka', 'cepat', 'moga', 'indonesia', 'terimakasih', 'presiden', 'indonesia', 'tidak', 'anggap', 'negara', 'miskin']"
Ham,Terbaik pak👍,['baik']
Ham,Mantap pakde👍,"['mantap', 'pakde']"
Ham,Waawwwww.... keren abis...sehat selalu pak presiden ❤❤❤,"['waa', 'keren', 'abis', 'sehat', 'presiden']"
Ham,Lebih hebat lagi kalau membangun tanpa hutang yang begitu besar....,"['hebat', 'bangun', 'hutang']"
Spam,Pak....,[]
Ham,"Mantaap pak De,sehat selalu Tuhan mmberkati","['mantaap', 'de', 'sehat', 'tuhan', 'mmberkati']"
Ham,Bp Presiden Joko Widodo sukses dengan semangat juang.🙏,"['bp', 'presiden', 'joko', 'widodo', 'sukses', 'semangat', 'juang']"
Ham,argo Parahyangan saja tidak terjangkau buat saya pak sudahlah saya cukup menggunakan KA ekonomi saja Walahar atau Serayu,"['argo', 'parahyangan', 'tidak', 'jangkau', 'ka', 'ekonomi', 'walahar', 'rayu']"
Ham,mantap,['mantap']
Ham,Kereeeeen ...terimakasih bapak Presiden Jokowi untuk Indonesia maju...👍👍🙏,"['kereeeeen', 'terimakasih', 'presiden', 'jokowi', 'indonesia', 'maju']"
Spam,"Begitupun,masih ada yg mengatakan hal ini merugikan, hitung hitunganya gimana y?  Heran.","['yg', 'rugi', 'hitung', 'hitunganya', 'gimana', 'y', 'heran']"
Ham,Sehat bahagia selalu bapak Presidenku,"['sehat', 'bahagia', 'presiden']"
Ham,Yes.. masak nyoba yg di luar negeri aja ya pak… skrg bangga deh di Indonesia udah punya juga… all the best Mr President!!! Matur nuwun sanget nggih..🙏❤️💐,"['yes', 'masak', 'nyoba', 'yg', 'negeri', 'aja', 'ya', 'skrg', 'bangga', 'deh', 'indonesia', 'udah', 'all', 'the', 'best', 'mr', 'president', 'matur', 'nuwun', 'sanget', 'nggih']"
Ham,Brp tiketnya boss?,"['brp', 'tiket', 'boss']"
Ham,Optimis Bapak Jokowi&Indonesia Maju,"['optimis', 'jokowi', 'indonesia', 'maju']"
Ham,Semoga sukses selalu ee bpk presiden RI 🇮🇩,"['moga', 'sukses', 'ee', 'bpk', 'presiden', 'ri']"
Spam,ya kaanjen ¿♡ masEh tekoh ~~~,"['ya', 'kaanjen', 'maseh', 'tekoh']"
Ham,Mantap,['mantap']
Ham,Keren sekali pak👍👍,['keren']
Ham,"Gak bisa ikut merasakan... kebagian inflasinya aja 😅 keren semoga gak hanya Jakarta aja, krn indonesia bukan hanya JAKARTA.","['gak', 'rasa', 'bagi', 'inflasi', 'aja', 'keren', 'moga', 'gak', 'jakarta', 'aja', 'krn', 'indonesia', 'jakarta']"
Spam,Trisno Genzo kapan gantian kita test driver kereta cepatnya?,"['trisno', 'genzo', 'ganti', 'test', 'driver', 'kereta', 'cepat']"
Ham,"Bangga walaupun entah kapan bisa naik nya, semoga suatu saat😁","['bangga', 'nya', 'moga']"
Spam,Kampung rempang itu gmna nasibnya pakde,"['kampung', 'rempang', 'gmna', 'nasib', 'pakde']"
Ham,Assalamualaikum pa presiden mantep itu,"['assalamualaikum', 'pa', 'presiden', 'mantep']"
Ham,"Ini baru presiden, lanjut pak yg utk tujuan jawa tengah, jawa timur...","['presiden', 'yg', 'utk', 'tuju', 'jawa', 'jawa', 'timur']"
Spam,Hebat presiden nya bisa memfasilitasi rakyat kaya ...hebat bisa bikin maju rakyat yg kaya tpi bukan tuk rakyat kecil dan rakyat yg kurang mampu yg kehidupan nya selalu kurang ..  pendapatan tidak sesuai dg pengeluaran ...dari dulu hingga saat ni rakyat kecil dan kurang mampu selalu kurang pendapatan nya dan selalu besar tuk pengeluaran nya pendapatan TDK sesuai dgn pengeluaran nya ✍️👍,"['hebat', 'presiden', 'nya', 'fasilitas', 'rakyat', 'kaya', 'hebat', 'bikin', 'maju', 'rakyat', 'yg', 'kaya', 'tpi', 'tuk', 'rakyat', 'rakyat', 'yg', 'yg', 'hidup', 'nya', 'dapat', 'tidak', 'sesuai', 'dg', 'keluar', 'ni', 'rakyat', 'dapat', 'nya', 'tuk', 'keluar', 'nya', 'dapat', 'tdk', 'sesuai', 'dgn', 'keluar', 'nya']"
Ham,Terimakasih Pak Presiden Jokowi.. GBU 🙏,"['terimakasih', 'presiden', 'jokowi', 'gbu']"
Ham,Jawa barat jadi istimewa,"['jawa', 'barat', 'istimewa']"
Ham,Luar biasa keren 👍👍👍,['keren']
Spam,Berhubungan intim bertiga Enak Nikmat Puas MantaB ❤️❤️❤️❤️❤️❤️❤️,"['hubung', 'intim', 'tiga', 'enak', 'nikmat', 'puas', 'mantab']"
Spam,"Pak Jokowi tolong Bebaskan pulau Rempang jangan digusur saya mohon 
Pak Jokowi kasian warga Rempang Batam 🙏💓","['jokowi', 'tolong', 'bebas', 'pulau', 'rempang', 'gusur', 'mohon', 'jokowi', 'kasi', 'warga', 'rempang', 'batam']"
Ham,mantab n keren pak Jokowi…sehat selalu ya pak…kami org medan kalau ke jkt mau coba kcjb semangat terus pak🙏👍💪,"['mantab', 'n', 'keren', 'jokowi', 'sehat', 'ya', 'org', 'medan', 'jkt', 'coba', 'kcjb', 'semangat']"
Ham,Sukses menhoetang nya mantap perpanjang sampai jatim indo pride,"['sukses', 'menhoetang', 'nya', 'mantap', 'panjang', 'jatim', 'indo', 'pride']"
Ham,Gbu pak 🙏,['gbu']
Ham,Kapan tiketnya mulai dijual pak?,"['tiket', 'jual']"
Spam,Ups,['ups']
Ham,Kren pak Jokowi,"['kren', 'jokowi']"
Ham,Nggak pernah mimpi undonesia punya kereta cepat..dlm waktu yg singkat kepemimpinan pak Jokowi..👍👍👍,"['nggak', 'mimpi', 'undonesia', 'kereta', 'cepat', 'dlm', 'yg', 'singkat', 'pimpin', 'jokowi']"
Ham,Selamat pak. Semoga ada sedikit manfaatnya untuk rakyat miskin tu kereta,"['selamat', 'moga', 'manfaat', 'rakyat', 'miskin', 'tu', 'kereta']"
Ham,Indonesia maju,"['indonesia', 'maju']"
Spam,Pak minta sepedah,['dah']
Ham,Semoga ini beroperasi dan berfungsi dg baik serta di manfaatkan dg baik untuk semua lapisan masyarakat,"['moga', 'operasi', 'fungsi', 'dg', 'manfaat', 'dg', 'lapis', 'masyarakat']"
Ham,Muadahn jkerta Surbaya BS dlnjutken pak n Sumatra jkarta jg hrs direncanakan pak Krn kami dr Sumatra terganjal waktu onyebrangn,"['muadahn', 'jkerta', 'surbaya', 'bs', 'dlnjutken', 'n', 'sumatra', 'jkarta', 'jg', 'hrs', 'rencana', 'krn', 'dr', 'sumatra', 'ganjal', 'onyebrangn']"
Ham,"Asamualaikum,BPK persiden ri BPK Jokowi dodo,HTI2 y,smoga prjln y lncar,dan tidak ada hlngan suatu apapun,amin smngat BPK persiden,smoga hari ini lebih baik dri hari kemaren.","['asamualaikum', 'bpk', 'persiden', 'ri', 'bpk', 'jokowi', 'dodo', 'hti', 'y', 'smoga', 'prjln', 'y', 'lncar', 'tidak', 'hlngan', 'apa', 'amin', 'smngat', 'bpk', 'persiden', 'smoga', 'dri', 'kemaren']"
Ham,"Presiden terbaik dan terhebat ❤️
Semoga sehat2 selalu 🙏
Semoga Indonesia semakin maju dan makmur 👍👍👍","['presiden', 'baik', 'hebat', 'moga', 'sehat', 'moga', 'indonesia', 'maju', 'makmur']"
Spam,"10 tahun SBY jadi presiden apa yah hasilnya ? Pa Jokowi belum ada 10 tahun hasilnya luar biasa M Arti L Arti Kereta cepat bendungan pelabuhan bandara jalan tol jalan Desa jalan kabupaten kota provinsi sudah gitu anak SBY si Agus ngomongnya kaya ngga punya ati selalu menjelekkan Pa Jokowi heran saya ngga ngaca apa yah ,","['sby', 'presiden', 'yah', 'hasil', 'pa', 'jokowi', 'hasil', 'm', 'arti', 'l', 'arti', 'kereta', 'cepat', 'bendung', 'labuh', 'bandara', 'jalan', 'tol', 'jalan', 'desa', 'jalan', 'kabupaten', 'kota', 'provinsi', 'gitu', 'anak', 'sby', 'si', 'agus', 'ngomongnya', 'kaya', 'ngga', 'ati', 'jelek', 'pa', 'jokowi', 'heran', 'ngga', 'ngaca', 'yah']"
Ham,"sukses dan maju Indonesia Raya, Nusantara Jaya di Era Kepresiden Pak Jokowi.","['sukses', 'maju', 'indonesia', 'raya', 'nusantara', 'jaya', 'era', 'presiden', 'jokowi']"
Ham,Wah bagus sekali yah .,"['bagus', 'yah']"
Spam,Aku jugak pengen pak seperti bapak tapi saya orang desa nggak tau caranya kota cumak bisa mintak keadilan sosial BP,"['jugak', 'ken', 'orang', 'desa', 'nggak', 'tau', 'kota', 'cumak', 'mintak', 'adil', 'sosial', 'bp']"
Ham,Sukses pak presiden,"['sukses', 'presiden']"
Ham,Mantap,['mantap']
Ham,"Yg bagus kan hanya pulau Jawa pak. Coba liat di Sumatera Utara sana, jalan propinsi hancur berantakan. Sama dengan jalan ke sawah, sangat susah dilalui kendaraan.","['yg', 'bagus', 'pulau', 'jawa', 'coba', 'liat', 'sumatera', 'utara', 'jalan', 'propinsi', 'hancur', 'beranta', 'jalan', 'sawah', 'susah', 'kendara']"
Spam,3 periode ya presiden ku,"['periode', 'ya', 'presiden', 'ku']"
Ham,Bangga ❤️❤️🇮🇩🇮🇩,['bangga']
Ham,Indonesia Moving Forward,"['indonesia', 'moving', 'forward']"
Ham,Selamat pak presiden 🤗🤗🤗,"['selamat', 'presiden']"
Ham,Salam hormat Bapak Presiden,"['salam', 'hormat', 'presiden']"
Ham,Kerja yg sangat ba gus presidenku,"['kerja', 'yg', 'ba', 'gus', 'presiden']"
Ham,Semangat pak presiden💪💪,"['semangat', 'presiden']"
Ham,Semoga selalu sehat pak Jokowi 🙏🙏🙏,"['moga', 'sehat', 'jokowi']"
Ham,Klu jakarta hkg.pasti seru nich..🤭🤭bisa pulang kampung terus.🤭🤭,"['klu', 'jakarta', 'hkg', 'seru', 'nich', 'pulang', 'kampung']"
Spam,Sae pak owi👍,"['sae', 'owi']"
Ham,Luar biasa... sehat selalu Bpk Presiden..God bless,"['sehat', 'bpk', 'presiden', 'god', 'bless']"
Spam,"Tolong lah pakde turunkan harga beras , mohon di percepat pak,, semoga bapak sehat selalu.. 
Yang gak suka mohon abaikan","['tolong', 'pakde', 'turun', 'harga', 'beras', 'mohon', 'cepat', 'moga', 'sehat', 'gak', 'suka', 'mohon', 'abai']"
Ham,Sehat selalu pak presiden,"['sehat', 'presiden']"
Spam,Roy suryo kemana ya...apa komentarnya...ngumpet dia,"['roy', 'suryo', 'mana', 'ya', 'komentar', 'ngumpet']"
Spam,"Di youtube ada video Anak-anak Pesantren Al Zaytun Indramayu Indonesia yang Memohon  kepada Bapak Presiden Joko Widodo agar mendengarkan suara hati mereka.
Tolong disikapi dengan CEPAT SECEPAT KERETA JAKARTA BANDUNG","['youtube', 'video', 'anak', 'anak', 'pesantren', 'al', 'zaytun', 'indramayu', 'indonesia', 'mohon', 'presiden', 'joko', 'widodo', 'dengar', 'suara', 'hati', 'tolong', 'sikap', 'cepat', 'cepat', 'kereta', 'jakarta', 'bandung']"
Ham,mantap pak presiden .. salam Indonesia Maju 👍🏻,"['mantap', 'presiden', 'salam', 'indonesia', 'maju']"
Ham,Mantap. Bapak Joko Widodo-Presiden R.I.. Selamat malam.,"['mantap', 'joko', 'widodo', 'presiden', 'r', 'i', 'selamat', 'malam']"
Ham,Bullet train...ini di Tokyo kah pak Presiden Joko Widodo 😘😘😘,"['bullet', 'train', 'tokyo', 'kah', 'presiden', 'joko', 'widodo']"
Ham,Semoga selalu diberi kesehatan dan tetap semangat pak salam dari rakyat kecil bekasi timur,"['moga', 'sehat', 'semangat', 'salam', 'rakyat', 'bekas', 'timur']"
Ham,"Indonesia trus maju dan jaya sepanjang masa di alam ini., mhn doa juga buat kami menjadi salah satu Kakankemenag di Aceh ini. Pak Jokowi...","['indonesia', 'trus', 'maju', 'jaya', 'alam', 'mhn', 'doa', 'salah', 'kakankemenag', 'aceh', 'jokowi']"
Ham,Otewe pasti naik KCJB PAK Presiden..,"['otewe', 'kcjb', 'presiden']"
Spam,Kami  sedih  klau  Bpk   tergantikan  posisinya.  Kami  sangat  butuh  Bpk  untuk   3   periode   lagi   Pak  untuk  bisa  memimpin   Bangsa   dan  Negara  ini.,"['sedih', 'klau', 'bpk', 'ganti', 'posisi', 'butuh', 'bpk', 'periode', 'pimpin', 'bangsa', 'negara']"
Ham,Barokalloh pak presiden Jokowi..,"['barokalloh', 'presiden', 'jokowi']"
Ham,"mantap pak...
smoga sehat sllu","['mantap', 'smoga', 'sehat', 'sllu']"
Ham,Semoga Bapak Presiden Jokowi tiba dengan slamat dan penuh suka cita kreen mantap tetap semangat.,"['moga', 'presiden', 'jokowi', 'slamat', 'penuh', 'suka', 'cita', 'kreen', 'mantap', 'semangat']"
Ham,Bapak aku ikut dong naik kereta cepat...,"['kereta', 'cepat']"
Ham,Sehat sehat Pa Dhe Djokowi !!,"['sehat', 'sehat', 'pa', 'dhe', 'djokowi']"
Ham,Selamat pagi pak jokowi,"['selamat', 'pagi', 'jokowi']"
Ham,"Semoga sehat selalu  Bapak Presiden, Bapak Jokowi. Bapak memang hebat dan selalu memikirkan rakyat. Doa terbaik selalu untuk bapak🙏","['moga', 'sehat', 'presiden', 'jokowi', 'hebat', 'pikir', 'rakyat', 'doa', 'baik']"
Ham,keren,['keren']
Spam,"Hello""pak sudah liatin mesenger saya pak😧😧😧😧😧😧😧😧😧😧😧😧😧😧😧😧😧😧😧😧","['hello', 'liatin', 'mesenger']"
Ham,Terima kasih pak jokowi di tangan bapak indonesia bisa bisa bersaing dengan negara lain,"['terima', 'kasih', 'jokowi', 'tangan', 'indonesia', 'saing', 'negara']"
Ham,"Keren pak.
Semoga pak Presiden Joko Widodo sehat selalu.","['keren', 'moga', 'presiden', 'joko', 'widodo', 'sehat']"
Ham,Sehat slalu pak presiden RI sekeluarga,"['sehat', 'slalu', 'presiden', 'ri', 'keluarga']"
Ham,Keren banget pak presiden 👍👍👍👍👍👍,"['keren', 'banget', 'presiden']"
Ham,Mantab sejarah baru untuk Indonesia dg adanya KCJB dan sejarah Baru Lolosnya sepak bola piala Asia U 23 di th 2024..luarr biasa jos Indonesia di era Pak Dhe...🇮🇩👍🇮🇩👍🇮🇩👍,"['mantab', 'sejarah', 'indonesia', 'dg', 'kcjb', 'sejarah', 'lolos', 'sepak', 'bola', 'piala', 'asia', 'u', 'th', 'luarr', 'jos', 'indonesia', 'era', 'dhe']"
Ham,Maju lagi pak,['maju']
Ham,"...*** 🙏🙏🙏...TERIMA~KASIIIH PAK PRESIDEN...BAPAK SUDAAH M'NUNJUKKAAN...M'BUKTIKAAN NIAT BAIK BPK..PADA RAKYAT,MASYARAKAT DUNIA...INIILAAAH INDONESIA MASA DEPAN..."" SILAHKAAN PAK...BPK NIKMATIII..RELAKS..SEJENAAAK MERAASAKAAN HASIL JERIH PAYAAH..DI BAWAH HUJATAN...CACIAN...MAKIIAN..HINAAN..TAPII BPK TLAH M'BUKTIKAAN K'TULUSAN BPK KEPADA RAKYAT...😥😥😥😭😭😭👍👍👍👏👏👏⭐⭐⭐⭐⭐🌹🌹🌹♥️♥️♥️💋💋💋😘😘😘🙏🙏🙏🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨..MAJU TAK GENTAARRRR...MERDEKAA...!!!","['terima', 'kasiiih', 'presiden', 'sudaah', 'm', 'nunjukkaan', 'm', 'buktikaan', 'niat', 'bpk', 'rakyat', 'masyarakat', 'dunia', 'iniilaaah', 'indonesia', 'silahkaan', 'bpk', 'nikmatiii', 'relaks', 'sejenaaak', 'meraasakaan', 'hasil', 'jerih', 'payaah', 'hujat', 'caci', 'makiian', 'hina', 'tapi', 'bpk', 'tlah', 'm', 'buktikaan', 'k', 'tulus', 'bpk', 'rakyat', 'maju', 'gentaarrrr', 'merdekaa']"
Ham,"Terimakasih, pak Presiden 🙏
Akhirnya negeri tercinta punya kereta cepat juga. Alhamdulillah 👍","['terimakasih', 'presiden', 'negeri', 'cinta', 'kereta', 'cepat', 'alhamdulillah']"
Spam,"Tinggal proyek IKN, IKN jadi otomatis pembangunan merata, soalnya Presidennya tinggal ditengah² NKRI bukan di Jawa lagi 😁","['tinggal', 'proyek', 'ikn', 'ikn', 'otomatis', 'bangun', 'rata', 'presiden', 'tinggal', 'tengah', 'nkri', 'jawa']"
Ham,Awal yang baik menuju Indonesia Emas 2045 Bapak Presiden Joko Widodo 👍💪🙏,"['indonesia', 'emas', 'presiden', 'joko', 'widodo']"
Ham,"Jangan nunggu maju baru membangun,tapi membanguhlah untuk menjadi maju","['nunggu', 'maju', 'bangun', 'membanguhlah', 'maju']"
Spam,"Pak Jokowi kunjungi desa kami lah pak di Sumatra Selatan 🙂
Disini kami hidup dengan suka duka, dimana jalan belum diaspal, tidak ada bantuan air.
Disini kami hanya mengandalkan air galon saja tidak pernah ada bantuan air yang datang 🙂.
Tolong pak kunjungi daerah kami ini yang mana daerah kami ini jauh dari kota dan hidup apa adanya.
Jalan yang bergelombang- lombang, jalan yang lengket dan licin membuat kami para pesekolah harus berjuang ketika rintikan hujan mendatang. Harapan saya cuma ingin desa kami ini menjadi lebih baik walaupun jauh dari kata kota.
Presiden Joko Widodo mohon pak dimengerti 🙂🙏","['jokowi', 'kunjung', 'desa', 'sumatra', 'selatan', 'hidup', 'suka', 'duka', 'mana', 'jalan', 'aspal', 'tidak', 'bantu', 'air', 'andal', 'air', 'galon', 'tidak', 'bantu', 'air', 'tolong', 'kunjung', 'daerah', 'daerah', 'kota', 'hidup', 'jalan', 'gelombang', 'lombang', 'jalan', 'lengket', 'licin', 'seko', 'juang', 'rintik', 'hujan', 'harap', 'desa', 'kota', 'presiden', 'joko', 'widodo', 'mohon', 'erti']"
Ham,"Keren pak 👍👍Presiden Joko Widodo , semoga Daerah2 wilayah Timur cepat menyusul pembangunan infrastrukturnya pak🤲👍👍💪💪","['keren', 'presiden', 'joko', 'widodo', 'moga', 'daerah', 'wilayah', 'timur', 'cepat', 'susul', 'bangun', 'infrastruktur']"
Ham,"Alhamdulillah 🤲 
Semoga sehat selalu bapak Presiden Joko Widodo dan ibu 🙏","['alhamdulillah', 'moga', 'sehat', 'presiden', 'joko', 'widodo']"
Ham,Semoga suatu saat nanti jalur kereta cepat ini dilanjut jakarta - Surabaya.,"['moga', 'jalur', 'kereta', 'cepat', 'lanjut', 'jakarta', 'surabaya']"
Spam,"Wkwk, ga ada respon apa"" nih rakyatnya di rempang lagi mempertahankan hidup..","['wkwk', 'ga', 'respon', 'nih', 'rakyat', 'rempang', 'tahan', 'hidup']"
Ham,PAK JOKOWI 👍 👍 😎 ❤ 🇮🇩,['jokowi']
Spam,"Assalamu'alaikum pak Presiden Joko Widodo, tanpa mengurangi rasa hormat saya akan pencapaian yg selama ini Bapak hadirkan. Saya ingin menanyakan bagaimana tanggapan Bapak mengenai kerusuhan di Batam??","['assalamu', 'alaikum', 'presiden', 'joko', 'widodo', 'kurang', 'hormat', 'capai', 'yg', 'hadir', 'tanggap', 'rusuh', 'batam']"
Ham,"Memang luar biasa capain di pulau jawa, semoga tol pontianak singkawang jg segera di bangun pak Presiden Joko Widodo  🙏🙏🙏","['capain', 'pulau', 'jawa', 'moga', 'tol', 'pontianak', 'singkawang', 'jg', 'bangun', 'presiden', 'joko', 'widodo']"
Ham,Itu bagus bpak ngecek kereta cepat akan lbih bgus lgi KLO bpak ngecek masalah d Kepri dgan cepat ....jgan sampai polisi n rakyat jdi korban baku bunuh utk sesuatu yg tdak terlalu penting ....🙏🙏,"['bagus', 'bpak', 'ngecek', 'kereta', 'cepat', 'lbih', 'bgus', 'lgi', 'klo', 'bpak', 'ngecek', 'd', 'kepri', 'dgan', 'cepat', 'jgan', 'polisi', 'n', 'rakyat', 'jdi', 'korban', 'baku', 'bunuh', 'utk', 'yg', 'tdak']"
Ham,Dbest of good.. Mr President jokowi-.. 👍👍👍,"['dbest', 'of', 'good', 'mr', 'president', 'jokowi']"
Spam,"Benar skli pak tunggu apalagi,ucapan slmat jln cepat ya pak apa","['skli', 'tunggu', 'ucap', 'slmat', 'jln', 'cepat', 'ya']"
Ham,Luar biasa pak Presiden,['presiden']
